1a	github 帳號	組別
30925140	30925140	1
30940101	Frank30940101	5
30940105	Xzerl	5
40623143	40623143	6
40723141	s40723141	6
40723207	s40723207	3
40723226	s40723226	3
40723229	s40723229	3
40723233	s40723233	3
40723239	s40723239	3
40723245	s40723245	3
40823132	40823132	6
41023102	Yuli1106	5
41023104	CHIA-ROU	5
41023105	41023105	5
41023106	lee-kai-shin	5
41023107	LIN-TING-YUN	5
41023108	KEHUEISIN	1
41023109	Yu-Fang-Hong	5
41023110	41023110	1
41023112	41023112	2
41023114	41023114	1
41023118	41023118	4
41023119	41023119	4
41023120	41023120	4
41023121	41023121	2
41023122	lianian1120	4
41023124	41023124	4
41023125	41023125	4
41023126	41023126	1
41023127		6
41023130	41023130	4
41023131	george0324	4
41023133	JIAN3-LIN	2
41023134	41023134	2
41023137	41023137	6
41023138	jamie_920130	1
41023140	dan41023140	2
41023142	41023142	4
41023143	shih1717	2
41023145		6
41023146	41023146	2
41023147	Xiang0502	2
41023148		6
41023154	zeromarurei	1
