2b	github 帳號	組別
40723134		
40723136	s40723136	
40723146		
40723217	40723217	6
40732331	40732331	
40823215	40823215	2
40923201	40923201	1
40923203	youshin40923203	2
40923204	40923204	2
40923205	40923205	1
40923206	40923206-1	3
40923207	40923207	2
40923208	nfu40923208	1
40923209	nfu40923209	2
40923210	40923210	1
40923211	a40923211	4
40923212	40923212	5
40923213	40923213	2
40923214	40923214	
40923216	40923216	8
40923217	40923217	1
40923218	40923218	4
40923219	nfu40923219	6
40923220	40923220	2
40923221	40923221	4
40923223	40923223	4
40923224	s40923224	3
40923225	40923225	6
40923226	40923226	3
40923227	40923227	4
40923228	40923228	8
40923229	40923229	5
40923230	40923230	1
40923231	40923231	1
40923232	40923232	6
40923233	40923233	5
40923234	40923234	5
40923235	40923235	1
40923236	40923236	6
40923237	40923237	5
40923238	40923238	8
40923240	40923240	2
40923241	40923241	6
40923242	40923242	3
40923243	40923243	4
40923244	40923244	
40923245	40923245-1	3
40923246	40923246	6
40923247	40923247	3
40923248	40923248	8
40923249	40923249-1	3
40923250	40923250	6
40923251	40923251	5
40923252	40923252	3
40923253	40923253	5
40971220	40971220	5
